key,en,es,ar
Escrow failed. Record didn\,Escrow failed. Record didn\,Falló el depósito en garantía. Récord no \ no \,فشل الضمان. سجل لم \
"Escrow created Successful, Please Go Back Your App","Escrow created Successful, Please Go Back Your App","CUPROW creado exitoso, por favor regrese su aplicación",تم إنشاء الضمان الناجح ، يرجى العودة إلى تطبيقك
"Sorry, your payment information is invalid","Sorry, your payment information is invalid","Lo siento, su información de pago no es válida",آسف ، معلومات الدفع الخاصة بك غير صالحة
Money Exchange Information,Money Exchange Information,Información de cambio de dinero,معلومات تبادل الأموال
Exchange money isn\,Exchange money isn\,Intercambio de dinero no \,تبادل المال isn \
exchange_from_amount,exchange_from_amount,Exchange_from_amount,Exchange_from_amount
You don\,You don\,Tú no \,أنت لا \
"Money exchange successful, Please Go Back Your App","Money exchange successful, Please Go Back Your App","Intercambio de dinero exitoso, por favor regrese su aplicación",تبادل الأموال ناجحًا ، يرجى العودة إلى تطبيقك
Money Out Information!,Money Out Information!,¡Información de dinero!,معلومات المال!
Invalid Gateway!,Invalid Gateway!,Gateway no válido!,بوابة غير صالحة!
Currency Not Setup Yet!,Currency Not Setup Yet!,¡La moneda aún no está configurada!,العملة لا الإعداد بعد!
Please follow the transaction limit,Please follow the transaction limit!,¡Siga el límite de transacción!,يرجى اتباع حد المعاملة!
Insufficient Balance!,Insufficient Balance!,¡Saldo insuficiente!,توازن غير كاف!
Money out Inserted Successfully,Money out Inserted Successfully,Dinero fuera insertado con éxito,تم إدخال المال بنجاح
Something is wrong,Something is wrong!,¡Algo está mal!,هناك شئ غير صحيح!
"Invalid request, it is not manual gateway request","Invalid request, it is not manual gateway request","Solicitud no válida, no es una solicitud de puerta de enlace manual",طلب غير صالح ، إنه ليس طلب بوابة يدوي
Money out request send to admin successfully,Money out request send to admin successfully,Solicitud de dinero de dinero enviar al administrador correctamente,طلب المال خارج الإرسال إلى المسؤول بنجاح
Profile successfully updated!,Profile successfully updated!,Perfil actualizado con éxito!,تم تحديث الملف الشخصي بنجاح!
Current password didn\,Current password didn\,La contraseña actual no \,كلمة المرور الحالية لم تفعل \
Password updated successfully!,Password updated successfully!,¡Contraseña actualizada exitosamente!,تم تحديث كلمة السر بنجاح!
Something went wrong! Please try again,Something went wrong! Please try again!,¡Algo salió mal! ¡Inténtalo de nuevo!,هناك خطأ ما! حاول مرة اخرى!
User deleted successfull,User deleted successfull,Usuario eliminado exitoso,حذف المستخدم الناجح
Don,Don,Don,اِتَّشَح
t login to your account,t login to your account,Tije iniciar sesión en su cuenta,T تسجيل الدخول إلى حسابك
Data fetch Successfully,Data fetch Successfully,Los datos obtienen con éxito,جلب البيانات بنجاح
Google 2FA Updated Successfully!,Google 2FA Updated Successfully!,Google 2FA actualizado con éxito!,تم تحديث Google 2FA بنجاح!
Your profile type updated successfully,Your profile type updated successfully,Su tipo de perfil actualizado correctamente,تم تحديث نوع ملف التعريف الخاص بك بنجاح
user.password.forgot.code.verify.form,user.password.forgot.code.verify.form,user.password.forgot.code.verify.form,user.password.forgot.code.verify.form
Varification code sended to your email address,Varification code sended to your email address,Código de varificación enviado a su dirección de correo electrónico,تم إرسال رمز التباين إلى عنوان بريدك الإلكتروني
Approve,Approve,Aprobar,يعتمد
Reject,Reject,Rechazar,يرفض
user.password.forgot,user.password.forgot,user.password.forgot,user.password.forgot
Password Reset Token Expired,Password Reset Token Expired,El token de restablecimiento de contraseña expiró,انتهت صلاحية رمز إعادة تعيين كلمة المرور
Varification code resend success!,Varification code resend success!,¡El código de varificación reenvía el éxito!,رمز التباين إعادة تقديم النجاح!
user.authorize.kyc,user.authorize.kyc,user.authorize.kyc,user.authorize.kyc
Please submit kyc information,Please submit kyc information,Envíe la información de KYC,يرجى تقديم معلومات KYC
Please wait before admin approved your kyc information,Please wait before admin approved your kyc information,Espere antes de que el administrador aprobara su información de KYC,يرجى الانتظار قبل موافقة المسؤول على معلومات KYC الخاصة بك
Admin rejected your kyc information,Admin rejected your kyc information,Admin rechazó su información de KYC,رفض المسؤول معلومات KYC الخاصة بك
user.add.money.index,user.add.money.index,user.add.money.index,user.add.money.index
Successfully added money,Successfully added money,Dinero agregado con éxito,أضافت الأموال بنجاح
You have canceled the payment,You have canceled the payment,Has cancelado el pago,لقد ألغت الدفع
Add money cancelled,Add money cancelled,Agregar dinero cancelado,أضف المال الملغى
Transaction failed,Transaction failed,Transacción fallida,فشل الاجراء
Added Money Failed,Added Money Failed,El dinero agregado falló,فشل الأموال المضافة
Add Money Failed,Add Money Failed,Agregar dinero fallido,فشل إضافة المال
Add Money Canceled,Add Money Canceled,Agregar dinero cancelado,أضف المال الملغى
Account successfully verified,Account successfully verified,Cuenta verificada con éxito,الحساب تم التحقق منه بنجاح
Request token is invalid,Request token is invalid,El token de solicitud no es válido,الرمز المميز غير صالح
user.authorize.mail,user.authorize.mail,user.authorize.mail,user.authorize.mail
You are already KYC Verified User,You are already KYC Verified User,Ya eres usuario verificado de KYC,أنت بالفعل مستخدم تم التحقق منه KYC
warning,warning,advertencia,تحذير
Faild to login. Please try again,Faild to login. Please try again,No se inicia sesión. Inténtalo de nuevo,فشل في تسجيل الدخول. حاول مرة اخرى
index,index,índice,فِهرِس
Your profile deleted successfully!,Your profile deleted successfully!,¡Tu perfil se eliminó con éxito!,تم حذف ملف التعريف الخاص بك بنجاح!
Notifications seen successfully!,Notifications seen successfully!,¡Notificaciones vistas con éxito!,الإخطارات التي شوهدت بنجاح!
Payment gateway not found,Payment gateway not found,Pase de entrada no encontrada,لم يتم العثور على بوابة الدفع
user.my-escrow.index,user.my-escrow.index,user.my-escrow.index,user.my-escrow.index
Payment successfully completed,Payment successfully completed,Pago completado con éxito,مكتمل الدفع بنجاح
Payment Canceled,Payment Canceled,Pago cancelado,تم إلغاء الدفع
This escrow is closed,This escrow is closed,Este depósito está cerrado,هذا الضمان مغلق
SMS Sending faild! Please try again,SMS Sending faild! Please try again,¡SMS enviando fallas! Inténtalo de nuevo,الرسائل القصيرة إرسال فشل! حاول مرة اخرى
File Uploaded Success,File Uploaded Success,Éxito cargado de archivos,ملف تم تحميله النجاح
Seller Wallet not found,Seller Wallet not found,Billetera del vendedor no encontrada,لم يتم العثور على محفظة البائع
You have successfully released payment,You have successfully released payment,Ha publicado con éxito el pago,لقد أصدرت الدفع بنجاح
Escrow created successfully,Escrow created successfully,Depósito en garantía creado con éxito,تم إنشاء الضمان بنجاح
flutterWave,flutterWave,flutterwave,Flutterwave
You have cancelled the payment,You have cancelled the payment,Has cancelado el pago,لقد ألغت الدفع
Password successfully updated!,Password successfully updated!,Contraseña actualizada correctamente!,تم تحديث كلمة المرور بنجاح!
Security Setting Updated Successfully!,Security Setting Updated Successfully!,Configuración de seguridad actualizada con éxito!,تم تحديث إعداد الأمان بنجاح!
Support ticket created successfully!,Support ticket created successfully!,¡Ticket de apoyo creado con éxito!,تذكرة الدعم التي تم إنشاؤها بنجاح!
This support ticket is closed,This support ticket is closed,Este boleto de soporte está cerrado,تذكرة الدعم هذه مغلقة
Can\'t change anything for demo application,Can\'t change anything for demo application,¿No puede cambiar cualquier cosa para la aplicación de demostración?,لا يمكن تغيير أي شيء للتطبيق التجريبي
"Don't forget to add this application in your google authentication app. Otherwise, you can't login to your account","Don't forget to add this application in your google authentication app. Otherwise, you can't login to your account","No olvide agregar esta aplicación en su aplicación de autenticación de Google. De lo contrario, no puede iniciar sesión en su cuenta",لا تنس إضافة هذا التطبيق في تطبيق مصادقة Google الخاص بك. خلاف ذلك ، لا يمكنك تسجيل الدخول إلى حسابك
Google Authenticator is a product based authenticator by Google that executes two-venture confirmation administrations for verifying clients of any programming applications,Google Authenticator is a product based authenticator by Google that executes two-venture confirmation administrations for verifying clients of any programming applications,Google Authenticator es un autenticador basado en productos de Google que ejecuta administraciones de confirmación de dos ventas para verificar a los clientes de cualquier aplicación de programación,Google Authenticator هو مصادقة قائمة على المنتج من قبل Google والتي تنفذ إدارات تأكيد ثنائية المشاريع للتحقق من العملاء من أي تطبيقات برمجة
How to setup,How to setup,Como instalar,كيفيه التنصيب
Download For Android,Download For Android,Descargar para Android,تحميل لنظام Android
Download For IOS,Download For IOS,Descargar para iOS,تنزيل لنظام التشغيل iOS
These credentials do not match our records,These credentials do not match our records,Estas credenciales no coinciden con nuestros registros,لا تتطابق بيانات الاعتماد هذه سجلاتنا
